name,title,rating,budget_dinner,budget_lunch
Apetaito Sakaba,"勝鬨 / 日式小酒館, 炒麵, 豬肉蓋飯",3.29,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999"
Agariko Gyouzarou,"池袋 / 餃子, 飲茶・點心, 日式小酒館",3.09,"JPY 2,000～JPY 2,999",-
La Trattoriaccia,廣尾 / 義式,3.59,"JPY 8,000～JPY 9,999","JPY 3,000～JPY 3,999"
Sumibikushiyaki Hiyokunotori,"水道橋 / 烤雞串, 肉類料理, 日本酒",3.52,"JPY 4,000～JPY 4,999",-
Sushi Ryou,"築地市場 / 壽司, 日本料理, 海鮮",3.36,"JPY 20,000～JPY 29,999",-
Ajisuki Desuka,"練馬 / 食堂, 日式小酒館, 油炸食品",3.54,"JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999"
TOSAGE,"六本木 / 義式, 義大利麵, 洋酒吧",3.60,"JPY 20,000～JPY 29,999",-
Yakiton Sakaba Yamane Nikuten,"錦糸町 / 日式小酒館, 烤雞雜串, 串燒",3.28,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999"
Kankoku Yataishiki Izakaya Kunyampocha,"湯島 / 韓國料理, 冷麵, 日式小酒館",3.16,"JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999"
Chuugokuryouri Touka,奧澤 / 中國菜,3.33,"JPY 6,000～JPY 7,999","JPY 2,000～JPY 2,999"
Kasaringa,"池尻大橋 / 義式, 義大利麵",3.16,"JPY 4,000～JPY 4,999","JPY 1,000～JPY 1,999"
Tsukiji Aozora Sandaime,"築地市場 / 壽司, 海鮮, 海鮮蓋飯",3.60,"JPY 10,000～JPY 14,999","JPY 3,000～JPY 3,999"
Yakiniku Toraji,"乃木坂 / 燒肉, 日式小酒館, 韓國料理",3.07,"JPY 6,000～JPY 7,999",-
Chuugokuchabou Eito,"新宿三丁目 / 中國菜, 飲茶・點心, 日式小酒館",3.44,"JPY 2,000～JPY 2,999",～JPY 999
Kuhara,"澀谷 / 日本料理, 海鮮, 雞肉料理",3.60,"JPY 10,000～JPY 14,999",-
Didot,"上野 / 義式, 法式小酒館, 義大利麵",3.44,"JPY 6,000～JPY 7,999","JPY 1,000～JPY 1,999"
Chuugokusabou Eito,"麻布十番 / 中國菜, 日式小酒館, 餃子",3.30,"JPY 3,000～JPY 3,999",～JPY 999
Bar FLARE,"六本木 / 餐飲酒館, 義式, 酒吧",3.01,"JPY 4,000～JPY 4,999",-
Sushi Gaku,東銀座 / 壽司,3.40,"JPY 15,000～JPY 19,999","JPY 6,000～JPY 7,999"
Nikuno Ichinohe,"大森 / 烤雞雜串, 日式小酒館",3.41,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999"
Asabusannohashi Takenami,"白金高輪 / 壽司, 日本料理, 日式小酒館",3.09,"JPY 20,000～JPY 29,999",-
Polyphony,"信濃町 / 蔬菜料理, 創新高級料理, 天然食品",3.07,"JPY 10,000～JPY 14,999","JPY 6,000～JPY 7,999"
FabuDine.,"廣尾 / 西班牙酒吧, 餐飲酒館, 天然食品",3.21,"JPY 5,000～JPY 5,999","JPY 1,000～JPY 1,999"
Karubonari Tou,"新中野 / 義式, 義大利麵, 西班牙酒吧",3.21,"JPY 6,000～JPY 7,999","JPY 1,000～JPY 1,999"
Sushi Mukau,白金高輪 / 壽司,3.47,"JPY 15,000～JPY 19,999",-
Kinshichou Jingisukan Okuno Hitsujiya,"錦糸町 / 蒙古烤肉, 燒肉, 日式小酒館",3.30,"JPY 4,000～JPY 4,999",-
Unagiya Edonadai Amon,"根津 / 饅魚, 日式小酒館, 日本料理",3.23,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999"
Koryouriyachihiro,"築地 / 日式小酒館, 關東煮",3.10,"JPY 5,000～JPY 5,999",-
Tai Ryouriban Nipa,"神保町 / 泰式料理, 咖喱, 日式小酒館",3.21,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999"
Asakusa Emu Jei,"不動前 / 文字燒, 鐵板燒",3.06,"JPY 4,000～JPY 4,999","JPY 1,000～JPY 1,999"
Sushi Akademi Itsuki,"銀座一丁目 / 壽司, 海鮮, 日本料理",3.01,"JPY 6,000～JPY 7,999","JPY 6,000～JPY 7,999"
